 4.71000000e+01 4.10000000e+01 3.88600000e+02 9.89000000e+01 5.10000000e+01 1.31000000e+01 1.00000000e-01 1.10000000e+00 6.00000000e-01 0.00000000e+00 1.00000000e+00 6.38000000e+01
 9.94000000e+01 1.22300000e+02 1.67300000e+02 1.54800000e+02 8.43000000e+01 4.56000000e+01 2.36000000e+01 6.50000000e+00 9.90000000e+00 7.80000000e+00 4.40000000e+00 1.86000000e+01
 8.40000000e+00 1.41800000e+02 1.86500000e+02 5.47000000e+01 5.07000000e+01 2.79000000e+01 7.00000000e+00 3.50000000e+00 7.00000000e-01 4.70000000e+00 9.00000000e-01 1.11000000e+01
 4.36000000e+01 1.30200000e+02 3.14300000e+02 3.29300000e+02 3.19000000e+02 1.87000000e+02 1.10600000e+02 5.57000000e+01 6.10000000e+00 1.30000000e+01 4.40000000e+00 3.90000000e+00
 2.14300000e+02 4.91800000e+02 3.88700000e+02 4.14700000e+02 2.98900000e+02 1.73700000e+02 9.95000000e+01 7.10000000e+00 3.80000000e+00 5.00000000e-01 6.50000000e+00 9.74000000e+01
 9.54000000e+01 2.66800000e+02 5.28200000e+02 4.11800000e+02 2.13300000e+02 1.43900000e+02 1.16000000e+01 1.98000000e+01 1.01000000e+01 9.70000000e+00 1.34000000e+01 1.01000000e+01
 4.24000000e+01 9.17000000e+01 3.56900000e+02 1.14600000e+02 2.48000000e+01 1.78800000e+02 3.14000000e+01 2.90000000e+00 5.10000000e+00 4.10000000e+00 5.20000000e+00 3.00000000e-01
 1.53700000e+02 1.50900000e+02 2.74800000e+02 2.37700000e+02 2.74600000e+02 7.69000000e+01 4.66000000e+01 2.60000000e+00 2.10000000e+01 7.20000000e+00 7.20000000e+00 7.73000000e+01
 8.83000000e+01 3.47000000e+01 2.73700000e+02 4.08400000e+02 1.56400000e+02 2.31900000e+02 1.33700000e+02 2.83000000e+01 2.73000000e+01 5.00000000e+00 6.90000000e+00 1.11100000e+02
 3.14000000e+01 1.37900000e+02 6.92000000e+01 1.65800000e+02 1.17100000e+02 1.93000000e+01 4.56000000e+01 2.30000000e+00 6.60000000e+00 3.20000000e+00 6.00000000e+00 4.60000000e+00
 3.96000000e+01 1.22800000e+02 3.40700000e+02 3.09200000e+02 1.17300000e+02 4.15000000e+01 1.32000000e+01 2.40000000e+00 3.00000000e-01 1.55000000e+01 7.00000000e-01 8.00000000e-01
 1.14900000e+02 1.88400000e+02 1.93300000e+02 1.70100000e+02 5.52000000e+01 5.71000000e+01 6.40000000e+00 2.40000000e+00 2.30000000e+00 8.00000000e-01 8.00000000e-01 5.00000000e-01
 4.82000000e+01 5.97000000e+01 1.72000000e+02 8.23000000e+01 4.38000000e+01 2.14000000e+01 5.28000000e+01 7.70000000e+00 1.70000000e+00 2.20000000e+00 1.40000000e+00 4.60000000e+00
 9.86000000e+01 1.68200000e+02 3.64800000e+02 3.36100000e+02 2.70700000e+02 3.68700000e+02 3.99000000e+01 1.90000000e+00 1.90000000e+00 6.20000000e+00 9.00000000e-01 9.73000000e+01
